#P1	80		p03_max	3825.710599							
#											
#Delta	Beta	m2	p2/p1	p02/p01	M3	p3/p2	p03/p02	p2/p03		p03	Is_MAX
5.1	18.0991299	3.63120489	1.63486968	0.98802157	0.4463033	15.2165905	0.19012554	0.05731967		2281.757282	FALSE
5.3	18.2556135	3.61711678	1.66509063	0.98664725	0.446801	15.0974561	0.19244919	0.0577547		2306.431345	FALSE
5.5	18.4131694	3.60303723	1.69574479	0.98517996	0.44730376	14.9788569	0.19480107	0.05819438		2331.145777	FALSE
5.7	18.5717945	3.58896473	1.72683525	0.98361796	0.44781171	14.8607791	0.19718173	0.05863882		2355.893587	FALSE
5.9	18.7314856	3.57489783	1.75836505	0.98195965	0.44832497	14.7432102	0.19959172	0.05908814		2380.667322	FALSE
6.1	18.8922395	3.56083517	1.7903372	0.98020357	0.44884367	14.6261383	0.2020316	0.05954245		2405.459903	FALSE
6.3	19.054053	3.54677546	1.82275463	0.9783484	0.44936791	14.5095522	0.2045019	0.06000187		2430.263763	FALSE
6.5	19.2169225	3.53271748	1.85562023	0.97639295	0.44989784	14.3934416	0.20700318	0.06046651		2455.071715	FALSE
6.7	19.3808446	3.51866008	1.88893682	0.97433618	0.45043358	14.2777969	0.20953599	0.06093649		2479.876107	FALSE
6.9	19.5458156	3.50460219	1.92270718	0.97217719	0.45097525	14.1626093	0.21210088	0.06141192		2504.669686	FALSE
7.1	19.711832	3.4905428	1.95693403	0.9699152	0.45152297	14.0478706	0.21469839	0.06189293		2529.444355	FALSE
7.3	19.87889	3.47648097	1.99162002	0.9675496	0.45207688	13.9335732	0.21732907	0.06237964		2554.192387	FALSE
7.5	20.0469858	3.4624158	2.02676776	0.96507987	0.45263711	13.8197104	0.21999345	0.06287216		2578.906479	FALSE
7.7	20.2161155	3.4483465	2.06237979	0.96250568	0.45320378	13.7062758	0.22269209	0.06337062		2603.578491	FALSE
7.9	20.3862754	3.43427229	2.09845859	0.95982678	0.45377702	13.5932638	0.22542552	0.06387514		2628.200693	FALSE
8.1	20.5574615	3.42019248	2.1350066	0.95704309	0.45435696	13.4806694	0.22819428	0.06438585		2652.764979	FALSE
8.3	20.7296698	3.40610643	2.17202619	0.95415464	0.45494374	13.3684878	0.2309989	0.06490286		2677.264071	FALSE
8.5	20.9028963	3.39201355	2.20951965	0.9511616	0.45553748	13.2567153	0.23383991	0.0654263		2701.689871	FALSE
8.7	21.0771371	3.37791332	2.24748925	0.94806424	0.45613832	13.1453481	0.23671783	0.06595631		2726.033946	FALSE
8.9	21.2523881	3.36380524	2.28593718	0.94486299	0.4567464	13.0343833	0.23963319	0.066493		2750.289119	FALSE
9.1	21.4286453	3.34968889	2.32486556	0.94155836	0.45736185	12.9238183	0.24258651	0.06703651		2774.447011	FALSE
9.3	21.6059046	3.3355639	2.36427647	0.93815102	0.45798481	12.8136509	0.24557829	0.06758697		2798.499734	FALSE
9.5	21.7841619	3.32142991	2.40417193	0.93464171	0.45861541	12.7038794	0.24860905	0.06814451		2822.439466	FALSE
9.7	21.9634134	3.30728665	2.44455388	0.93103132	0.45925379	12.5945025	0.25167929	0.06870926		2846.258429	FALSE
9.9	22.1436549	3.29313387	2.48542422	0.92732082	0.45990009	12.4855191	0.25478951	0.06928136		2869.948534	FALSE
10.1	22.3248824	3.27897136	2.52678479	0.92351131	0.46055446	12.3769287	0.25794019	0.06986095		2893.50178	FALSE
10.3	22.507092	3.26479896	2.56863738	0.91960396	0.46121704	12.2687309	0.26113182	0.07044815		2916.911096	FALSE
10.5	22.6902797	3.25061654	2.61098369	0.91560006	0.46188797	12.1609258	0.26436488	0.07104312		2940.167819	FALSE
10.7	22.8744415	3.23642401	2.65382539	0.91150099	0.46256739	12.0535138	0.26763984	0.07164599		2963.264674	FALSE
10.9	23.0595737	3.22222133	2.69716409	0.90730823	0.46325545	11.9464953	0.27095716	0.0722569		2986.194083	FALSE
11.1	23.2456724	3.20800846	2.74100133	0.90302331	0.46395231	11.8398713	0.2743173	0.072876		3008.948164	FALSE
11.3	23.4327338	3.19378542	2.78533861	0.89864789	0.46465811	11.7336429	0.2777207	0.07350343		3031.519601	FALSE
11.5	23.6207542	3.17955226	2.83017736	0.89418368	0.465373	11.6278114	0.2811678	0.07413935		3053.900375	FALSE
11.7	23.8097299	3.16530905	2.87551896	0.88963247	0.46609714	11.5223783	0.28465903	0.0747839		3076.083446	FALSE
11.9	23.9996575	3.15105588	2.92136475	0.88499611	0.46683068	11.4173453	0.28819481	0.07543723		3098.061527	FALSE
12.1	24.1905332	3.13679288	2.96771598	0.88027654	0.46757378	11.3127145	0.29177554	0.07609949		3119.827457	FALSE
12.3	24.3823538	3.1225202	3.01457389	0.87547574	0.46832659	11.2084878	0.29540163	0.07677085		3141.373467	FALSE
12.5	24.5751159	3.10823801	3.06193963	0.87059577	0.46908929	11.1046674	0.29907347	0.07745146		3162.692742	FALSE
12.7	24.7688162	3.0939465	3.10981432	0.86563871	0.46986202	11.0012558	0.30279142	0.07814149		3183.777857	FALSE
12.9	24.9634516	3.07964589	3.15819903	0.86060673	0.47064497	10.8982553	0.30655587	0.07884108		3204.622798	FALSE
13.1	25.159019	3.06533642	3.20709476	0.85550202	0.47143829	10.7956686	0.31036715	0.07955042		3225.219688	FALSE
13.3	25.3555154	3.05101833	3.25650248	0.85032681	0.47224215	10.6934983	0.31422561	0.08026966		3245.5625	FALSE
13.5	25.5529381	3.03669188	3.30642311	0.84508338	0.47305674	10.5917472	0.31813159	0.08099898		3265.644195	FALSE
13.7	25.7512842	3.02235737	3.35685751	0.83977404	0.47388222	10.4904181	0.32208538	0.08173854		3285.458742	FALSE
13.9	25.9505513	3.00801508	3.4078065	0.83440113	0.47471876	10.3895138	0.3260873	0.08248854		3304.998731	FALSE
14.1	26.1507367	2.99366532	3.45927087	0.82896701	0.47556656	10.2890374	0.33013762	0.08324914		3324.2586	FALSE
14.3	26.3518382	2.97930841	3.51125134	0.82347406	0.4764258	10.1889917	0.33423663	0.08402053		3343.231793	FALSE
